Country,Happiness,Religion,Family,Trust in people,Life satisfaction,Work importance,Trust in Press,Unemployment,Against immigration,Population,GDP,Life expectency,Babies per woman,Democracy score,%budget healthcare
Argentina,87.6,33.1,91.4,17.4,22.5,96.1,35.3,6.5,6,40800000,17200,75.2,2.38,8,14.7
Australia,91.6,19.2,93.7,45.6,8.1,79.9,11.3,2.9,2.2,21700000,41200,81.1,1.94,10,16.8
Chile,79.5,39.6,90.2,12.4,15.1,90.7,44.2,7.3,8.3,16800000,18500,78.4,1.9,10,16.2
China,76.8,5,78.1,49.3,14.3,85.5,59.6,4.5,5.3,1330000000,8650,72.4,1.59,-7,12.1
Colombia,86.9,,,14.3,37.9,,43.9,9.6,,45400000,10600,75,2.04,7,19.3
Croatia,,,,,,,,,,4430000,20400,75.1,1.45,9,17.7
Estonia,,,,,,,,,,1330000,22200,72.8,1.65,9,11.7
Finland,92,17.6,86.7,58,9.6,84.8,33.2,8.7,2.7,5340000,38900,78.9,1.86,10,12.1
Hungary,75.6,17.1,86.4,28.7,4.3,86.3,21.1,9.8,11.9,10000000,22100,73.1,1.33,10,10.3
India,75.3,49.7,90.1,20.7,15.8,92.9,63,7.7,22.4,1210000000,4050,64.2,2.67,9,3.75
Japan,87.3,5.7,91.3,36.6,4.6,84.9,72.5,1.6,4.2,128000000,34300,82,1.36,10,18.4
South Korea,87.4,21.1,92.3,28,3.6,91,64.2,4.1,4.9,49300000,28600,78.3,1.18,8,12.2
Latvia,,,,,,,,,,2140000,18600,70.8,1.5,8,9.21
Lithuania,,,,,,,,,,3160000,20300,71.4,1.47,10,12.6
Mexico,90.7,58.7,94.9,15.4,34,97.5,49.1,6,16,116000000,15000,75.2,2.36,8,11.9
Nigeria,,,,,,,,,,154000000,4900,56.9,5.87,4,5.94
Norway,96.3,10.5,90,73.7,11.9,92.5,36,1.2,1.4,4830000,62700,80.1,1.98,10,17.4
Pakistan,,,,,,,,,,167000000,4300,62.6,3.9,5,3.33
Peru,67.4,49.1,81.4,6.2,18.8,94.7,18.3,4.4,5.8,29000000,9310,77.1,2.57,9,15.9
Poland,87.7,47.2,93.6,18.1,12.6,86.9,35.9,11.4,5.9,38200000,21000,75.2,1.37,10,11.9
Russia,65.7,13.1,89,24.6,8.7,79.6,35.9,5.3,,143000000,22100,65.9,1.54,4,8.53
South Africa,77.8,69.9,95.6,,17.4,91.9,57.4,31,28.8,51000000,11800,51.1,2.6,9,11.4
Spain,92,14.8,88.9,19.8,5.8,87.7,40.5,4.7,3,46400000,32700,80.5,1.38,10,15.2
Sweden,96.1,9.3,92.1,65.2,11.6,91.9,32.8,2.9,1.1,9300000,40900,80.5,1.94,10,14.8
Switzerland,93.5,17.2,85.5,51.2,17.1,91.9,35,0.9,1,7740000,54500,81.2,1.49,10,19.9
Turkey,86.1,74.6,97.7,4.8,20.6,86.5,30.5,6.1,20.2,71300000,16800,76.7,2.17,7,12.8
Ukraine,74.6,17.6,86.8,24.5,4.2,77.8,44.2,4.5,6.3,46100000,7480,67.3,1.42,7,8.88
United Kingdom,93.4,20.7,93.3,30,10.9,70.8,13.3,6.9,,62300000,35800,79,1.88,10,16
United States,93.2,47,94.2,39.1,6.7,79.2,23.1,3.7,7.4,307000000,48600,77.7,2,10,19.6
Uruguay,85.9,22.6,89.3,24.6,16.2,92,49.5,9.4,3.1,3360000,15900,75.6,2.09,10,20.2
