country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
France,46800000,47400000,48100000,48800000,49400000,50000000,50500000,50900000,51300000,51600000,52000000,52500000,53000000,53400000,53900000,54300000,54500000,54800000,54900000,55100000,55300000,55600000,55900000,56200000,56500000,56800000,57100000,57500000,57800000,58200000,58500000,58600000,58900000,59100000,59300000,59500000,59800000,60000000,60200000,60500000,60900000,61400000,61800000,62200000,62700000,63200000,63600000,64000000,64400000,64700000,65000000,65300000,65700000,66000000,66300000,66600000,66900000,67100000
Gabon,499000,504000,510000,516000,524000,533000,543000,554000,566000,578000,590000,602000,613000,625000,637000,650000,664000,679000,695000,712000,729000,748000,767000,787000,808000,830000,853000,877000,901000,927000,952000,978000,1000000,1030000,1060000,1090000,1110000,1140000,1170000,1200000,1230000,1260000,1290000,1330000,1360000,1400000,1440000,1490000,1540000,1590000,1640000,1700000,1760000,1820000,1880000,1930000,1980000,2030000
Gambia,368000,377000,384000,389000,395000,401000,408000,416000,426000,436000,447000,460000,475000,490000,506000,521000,536000,552000,568000,585000,604000,625000,648000,673000,701000,732000,767000,804000,843000,881000,917000,949000,980000,1010000,1040000,1070000,1100000,1130000,1160000,1200000,1230000,1270000,1310000,1350000,1400000,1440000,1490000,1540000,1590000,1640000,1690000,1750000,1800000,1860000,1920000,1980000,2040000,2100000
Georgia,3650000,3700000,3760000,3820000,3870000,3920000,3970000,4010000,4040000,4080000,4120000,4160000,4210000,4240000,4280000,4310000,4340000,4370000,4400000,4430000,4470000,4500000,4540000,4580000,4620000,4660000,4700000,4740000,4790000,4800000,4800000,4840000,4870000,4910000,4860000,4730000,4620000,4530000,4490000,4450000,4420000,4390000,4360000,4300000,4250000,4190000,4140000,4080000,4030000,3980000,3930000,3880000,3830000,3780000,3730000,3720000,3720000,3720000
Germany,72800000,73400000,74000000,74700000,75300000,76000000,76600000,77000000,77300000,77900000,78200000,78300000,78700000,78900000,79000000,78700000,78300000,78200000,78100000,78100000,78300000,78400000,78300000,78100000,77900000,77700000,77700000,77800000,78100000,78800000,79400000,80000000,80600000,81200000,81400000,81700000,81900000,82000000,82000000,82100000,82200000,82300000,82500000,82500000,82500000,82500000,82400000,82300000,82100000,81900000,81800000,80300000,80400000,80600000,81000000,81700000,82300000,82700000
Ghana,6650000,6870000,7090000,7300000,7510000,7710000,7890000,8060000,8220000,8400000,8600000,8830000,9080000,9350000,9600000,9830000,10000000,10200000,10400000,10600000,10800000,11100000,11500000,11900000,12300000,12700000,13100000,13500000,13900000,14200000,14600000,15000000,15500000,15900000,16300000,16800000,17200000,17600000,18000000,18500000,18900000,19400000,19900000,20400000,21000000,21500000,22100000,22700000,23300000,23900000,24500000,25100000,25700000,26300000,27000000,27600000,28200000,28800000
Greece,8330000,8400000,8450000,8480000,8510000,8550000,8610000,8680000,8740000,8770000,8790000,8830000,8890000,8930000,8960000,9050000,9190000,9310000,9430000,9550000,9640000,9730000,9790000,9850000,9900000,9930000,9970000,10000000,10000000,10100000,10200000,10300000,10400000,10500000,10500000,10600000,10600000,10700000,10700000,10800000,10800000,10900000,10900000,10900000,11000000,11000000,11000000,11000000,11100000,11100000,11100000,11100000,11000000,11000000,10900000,10800000,10800000,10800000
Grenada,89900,91300,92400,93400,94100,94600,94900,95000,94900,94700,94400,94200,93900,93600,93200,92400,91400,90200,89100,88600,89000,90600,93100,96000,98400,99900,100000,99400,98100,96900,96300,96500,97200,98300,99400,100000,101000,101000,101000,101000,102000,102000,102000,102000,103000,103000,103000,104000,104000,104000,105000,105000,105000,106000,106000,107000,107000,108000
Guatemala,4210000,4340000,4460000,4600000,4730000,4870000,5010000,5160000,5310000,5470000,5620000,5780000,5940000,6100000,6270000,6430000,6600000,6770000,6930000,7110000,7280000,7470000,7650000,7850000,8040000,8240000,8440000,8640000,8840000,9050000,9260000,9480000,9710000,9940000,10200000,10400000,10600000,10900000,11100000,11400000,11700000,11900000,12200000,12500000,12800000,13100000,13400000,13700000,14000000,14300000,14600000,14900000,15300000,15600000,15900000,16300000,16600000,16900000
Guinea,3580000,3630000,3690000,3750000,3810000,3880000,3950000,4020000,4100000,4160000,4220000,4260000,4300000,4320000,4350000,4360000,4380000,4400000,4420000,4460000,4510000,4590000,4690000,4810000,4940000,5080000,5230000,5380000,5550000,5770000,6040000,6370000,6760000,7160000,7540000,7870000,8130000,8340000,8500000,8650000,8810000,8970000,9140000,9310000,9490000,9680000,9880000,10100000,10300000,10600000,10800000,11000000,11300000,11500000,11800000,12100000,12400000,12700000
Guinea-Bissau,616000,623000,630000,637000,644000,653000,662000,673000,685000,698000,712000,726000,741000,756000,769000,778000,784000,787000,788000,792000,801000,815000,833000,854000,877000,900000,922000,944000,966000,989000,1010000,1040000,1060000,1090000,1110000,1140000,1160000,1180000,1200000,1220000,1240000,1270000,1290000,1320000,1350000,1380000,1410000,1450000,1480000,1520000,1560000,1600000,1640000,1680000,1730000,1770000,1820000,1860000
Guyana,572000,589000,606000,623000,638000,652000,665000,676000,686000,696000,705000,714000,722000,730000,738000,746000,754000,762000,770000,776000,780000,782000,781000,779000,775000,770000,764000,758000,751000,746000,743000,744000,748000,753000,758000,761000,762000,761000,758000,755000,753000,752000,752000,752000,752000,751000,750000,748000,746000,746000,747000,749000,753000,758000,763000,769000,773000,778000
Haiti,3870000,3940000,4020000,4100000,4190000,4270000,4360000,4450000,4530000,4620000,4710000,4790000,4880000,4960000,5050000,5140000,5240000,5340000,5450000,5570000,5690000,5820000,5960000,6100000,6240000,6380000,6530000,6670000,6810000,6960000,7100000,7240000,7390000,7530000,7670000,7820000,7970000,8110000,8260000,8400000,8550000,8690000,8830000,8980000,9120000,9260000,9410000,9560000,9710000,9850000,10000000,10100000,10300000,10400000,10600000,10700000,10800000,11000000
Honduras,2040000,2100000,2160000,2220000,2280000,2350000,2410000,2490000,2560000,2640000,2720000,2800000,2880000,2970000,3060000,3150000,3250000,3350000,3460000,3570000,3680000,3790000,3910000,4030000,4150000,4280000,4410000,4540000,4680000,4810000,4960000,5100000,5250000,5400000,5550000,5710000,5870000,6030000,6190000,6360000,6520000,6690000,6860000,7030000,7200000,7370000,7540000,7710000,7870000,8040000,8190000,8350000,8510000,8660000,8810000,8960000,9110000,9270000
Hungary,9980000,10000000,10100000,10100000,10100000,10100000,10200000,10200000,10300000,10300000,10300000,10400000,10400000,10400000,10500000,10500000,10600000,10600000,10700000,10700000,10700000,10700000,10700000,10700000,10700000,10600000,10600000,10600000,10600000,10500000,10400000,10400000,10400000,10400000,10300000,10300000,10300000,10300000,10300000,10200000,10200000,10200000,10200000,10100000,10100000,10100000,10100000,10100000,10000000,10000000,10000000,9970000,9920000,9890000,9870000,9840000,9810000,9780000
Iceland,176000,179000,182000,186000,189000,192000,196000,199000,201000,203000,204000,206000,209000,212000,215000,218000,220000,222000,224000,226000,228000,231000,234000,237000,240000,241000,243000,246000,250000,253000,255000,258000,261000,264000,266000,267000,269000,271000,274000,277000,281000,285000,288000,290000,292000,297000,304000,312000,317000,318000,318000,319000,321000,324000,327000,331000,335000,341000
India,449000000,458000000,468000000,478000000,487000000,498000000,508000000,519000000,530000000,542000000,554000000,566000000,579000000,593000000,607000000,621000000,636000000,650000000,666000000,681000000,697000000,713000000,730000000,747000000,764000000,782000000,799000000,817000000,834000000,852000000,870000000,888000000,906000000,924000000,942000000,960000000,979000000,997000000,1020000000,1030000000,1050000000,1070000000,1090000000,1110000000,1130000000,1140000000,1160000000,1180000000,1200000000,1210000000,1230000000,1250000000,1260000000,1280000000,1290000000,1310000000,1320000000,1340000000
Indonesia,87800000,90100000,92600000,95100000,97600000,100000000,103000000,106000000,109000000,112000000,115000000,118000000,121000000,124000000,127000000,131000000,134000000,137000000,141000000,144000000,147000000,151000000,155000000,158000000,162000000,165000000,168000000,172000000,175000000,178000000,181000000,185000000,188000000,191000000,194000000,197000000,200000000,203000000,206000000,209000000,212000000,215000000,218000000,221000000,224000000,227000000,230000000,233000000,236000000,239000000,243000000,246000000,249000000,252000000,255000000,258000000,261000000,264000000
Iran,21900000,22500000,23100000,23700000,24300000,25000000,25600000,26300000,27000000,27800000,28500000,29300000,30100000,30900000,31800000,32700000,33700000,34800000,36000000,37300000,38700000,40200000,41900000,43600000,45500000,47300000,49300000,51200000,53100000,54800000,56200000,57400000,58300000,59000000,59700000,60600000,61600000,62700000,63900000,65100000,66100000,67100000,68000000,68800000,69600000,70400000,71200000,72000000,72800000,73700000,74600000,75500000,76500000,77400000,78400000,79400000,80300000,81200000
Iraq,7290000,7480000,7670000,7890000,8120000,8380000,8650000,8950000,9260000,9590000,9920000,10300000,10600000,11000000,11300000,11700000,12100000,12500000,12900000,13300000,13700000,14000000,14400000,14800000,15200000,15600000,15900000,16300000,16700000,17000000,17500000,17900000,18500000,19000000,19600000,20200000,20800000,21500000,22200000,22900000,23600000,24300000,24900000,25600000,26300000,27000000,27700000,28400000,29100000,29900000,30800000,31700000,32800000,33900000,35000000,36100000,37200000,38300000
Ireland,2830000,2820000,2840000,2850000,2870000,2880000,2890000,2900000,2920000,2930000,2960000,2990000,3040000,3090000,3140000,3190000,3240000,3280000,3330000,3370000,3410000,3450000,3490000,3510000,3530000,3540000,3540000,3540000,3520000,3510000,3510000,3530000,3560000,3580000,3590000,3610000,3640000,3670000,3710000,3750000,3810000,3870000,3930000,4000000,4070000,4160000,4270000,4400000,4490000,4540000,4560000,4580000,4600000,4620000,4660000,4700000,4760000,4810000
Israel,2110000,2190000,2290000,2380000,2480000,2560000,2630000,2750000,2800000,2880000,2970000,3070000,3150000,3280000,3380000,3460000,3530000,3610000,3690000,3790000,3880000,3960000,4030000,4110000,4160000,4230000,4300000,4370000,4440000,4520000,4660000,4950000,5120000,5260000,5400000,5550000,5690000,5840000,5970000,6130000,6290000,6440000,6570000,6690000,6810000,6930000,7050000,7180000,7310000,7490000,7620000,7770000,7910000,8060000,8220000,8380000,8550000,8710000
Italy,50200000,50500000,50900000,51300000,51700000,52100000,52500000,52900000,53200000,53500000,53800000,54100000,54400000,54800000,55100000,55400000,55700000,56000000,56200000,56300000,56400000,56500000,56500000,56600000,56600000,56600000,56600000,56600000,56600000,56700000,56700000,56800000,56800000,56800000,56800000,56800000,56900000,56900000,56900000,56900000,56900000,57000000,57100000,57300000,57700000,58000000,58100000,58400000,58800000,59100000,59300000,59400000,59500000,60200000,60800000,60700000,60600000,60600000
Jamaica,1630000,1650000,1680000,1700000,1730000,1760000,1780000,1800000,1830000,1850000,1880000,1900000,1930000,1970000,2000000,2030000,2060000,2080000,2110000,2130000,2160000,2200000,2240000,2270000,2310000,2340000,2360000,2380000,2390000,2410000,2420000,2440000,2470000,2490000,2510000,2540000,2560000,2590000,2610000,2630000,2660000,2680000,2700000,2710000,2730000,2740000,2760000,2780000,2790000,2800000,2820000,2830000,2840000,2850000,2860000,2870000,2880000,2890000
Japan,92500000,94900000,95800000,96800000,97800000,98900000,99800000,101000000,101000000,103000000,104000000,106000000,107000000,108000000,110000000,112000000,113000000,114000000,115000000,116000000,117000000,118000000,118000000,119000000,120000000,121000000,121000000,122000000,123000000,123000000,124000000,124000000,124000000,125000000,125000000,125000000,126000000,126000000,126000000,127000000,127000000,127000000,127000000,128000000,128000000,128000000,128000000,128000000,128000000,128000000,128000000,128000000,128000000,127000000,127000000,127000000,127000000,127000000
Jordan,932000,973000,1010000,1050000,1100000,1170000,1270000,1380000,1500000,1620000,1720000,1810000,1880000,1950000,2000000,2060000,2120000,2180000,2230000,2300000,2370000,2460000,2560000,2670000,2780000,2900000,3010000,3130000,3250000,3400000,3560000,3750000,3970000,4190000,4400000,4570000,4720000,4830000,4930000,5010000,5100000,5190000,5290000,5400000,5540000,5710000,5930000,6190000,6490000,6820000,7180000,7570000,7990000,8410000,8810000,9160000,9460000,9700000
Kazakhstan,9710000,10100000,10500000,10900000,11300000,11600000,11900000,12100000,12300000,12600000,12800000,13000000,13200000,13400000,13600000,13800000,13900000,14100000,14200000,14400000,14500000,14700000,14900000,15000000,15200000,15400000,15600000,15800000,16000000,16200000,16300000,16500000,16400000,16300000,16100000,15800000,15600000,15300000,15100000,14900000,14900000,14900000,14900000,14900000,15000000,15100000,15300000,15500000,15700000,16100000,16300000,16600000,16800000,17000000,17300000,17500000,17800000,18000000
Kenya,8110000,8360000,8630000,8910000,9200000,9500000,9820000,10200000,10500000,10900000,11300000,11700000,12100000,12500000,13000000,13500000,14000000,14500000,15100000,15700000,16300000,16900000,17600000,18200000,18900000,19700000,20400000,21100000,21900000,22600000,23400000,24200000,25000000,25800000,26500000,27300000,28100000,29000000,29800000,30600000,31500000,32300000,33200000,34100000,35100000,36000000,37100000,38100000,39100000,40200000,41400000,42500000,43600000,44800000,46000000,47200000,48500000,49700000
Kiribati,41200,42300,43300,44400,45400,46500,47500,48400,49400,50300,51200,52000,52800,53600,54400,55200,56000,56800,57700,58500,59300,60100,60900,61800,62800,64000,65500,67300,69100,70900,72400,73700,74800,75700,76700,77700,78900,80200,81600,83000,84400,85900,87300,88900,90500,92300,94300,96300,98400,101000,103000,105000,107000,109000,110000,112000,114000,116000
Kuwait,270000,301000,338000,380000,425000,474000,525000,579000,635000,691000,747000,801000,855000,909000,965000,1020000,1090000,1160000,1230000,1300000,1370000,1440000,1510000,1580000,1660000,1740000,1840000,1940000,2040000,2100000,2100000,2040000,,,,1610000,1630000,1720000,1840000,1960000,2050000,2110000,2140000,2170000,2210000,2280000,2380000,2500000,2650000,2820000,3000000,3190000,3400000,3600000,3780000,3940000,4050000,4140000
Kyrgyz Republic,2170000,2260000,2330000,2410000,2500000,2570000,2660000,2740000,2820000,2890000,2960000,3020000,3090000,3150000,3220000,3290000,3360000,3420000,3490000,3550000,3620000,3690000,3760000,3840000,3920000,3990000,4070000,4140000,4220000,4310000,4390000,4460000,4520000,4520000,4520000,4560000,4630000,4700000,4770000,4840000,4900000,4950000,4990000,5040000,5100000,5160000,5220000,5270000,5320000,5380000,5450000,5510000,5610000,5720000,5840000,5960000,6080000,6200000
Lao,2120000,2170000,2220000,2270000,2330000,2380000,2440000,2500000,2560000,2620000,2690000,2760000,2840000,2920000,2990000,3050000,3100000,3140000,3170000,3210000,3260000,3320000,3400000,3490000,3590000,3690000,3790000,3910000,4020000,4140000,4260000,4380000,4500000,4620000,4740000,4850000,4960000,5060000,5150000,5240000,5330000,5410000,5500000,5580000,5660000,5750000,5850000,5950000,6050000,6150000,6250000,6330000,6420000,6490000,6580000,6660000,6760000,6860000
Latvia,2120000,2150000,2180000,2210000,2240000,2270000,2280000,2300000,2320000,2340000,2360000,2380000,2400000,2420000,2440000,2460000,2470000,2490000,2500000,2510000,2510000,2520000,2530000,2550000,2560000,2580000,2600000,2630000,2650000,2670000,2660000,2650000,2610000,2560000,2520000,2490000,2460000,2430000,2410000,2390000,2370000,2340000,2310000,2290000,2260000,2240000,2220000,2200000,2180000,2140000,2100000,2060000,2030000,2010000,1990000,1980000,1960000,1940000
Lebanon,1800000,1860000,1930000,1980000,2040000,2090000,2140000,2170000,2210000,2250000,2300000,2350000,2420000,2480000,2540000,2580000,2600000,2610000,2600000,2600000,2610000,2620000,2630000,2650000,2670000,2680000,2680000,2670000,2670000,2680000,2700000,2750000,2820000,2900000,2970000,3030000,3070000,3090000,3110000,3160000,3240000,3360000,3520000,3700000,3860000,3990000,4060000,4090000,4110000,4180000,4340000,4590000,4920000,5280000,5600000,5850000,6010000,6080000
Lesotho,852000,866000,882000,899000,916000,934000,952000,972000,991000,1010000,1030000,1050000,1080000,1100000,1120000,1150000,1180000,1210000,1240000,1280000,1310000,1340000,1380000,1410000,1440000,1470000,1500000,1530000,1550000,1580000,1600000,1630000,1670000,1700000,1730000,1760000,1790000,1810000,1830000,1850000,1870000,1890000,1900000,1920000,1930000,1950000,1970000,1980000,2000000,2020000,2040000,2060000,2090000,2120000,2150000,2170000,2200000,2230000
Liberia,1120000,1140000,1170000,1200000,1220000,1250000,1280000,1310000,1350000,1380000,1420000,1450000,1490000,1540000,1580000,1630000,1670000,1720000,1770000,1830000,1890000,1960000,2030000,2100000,2160000,2190000,2200000,2190000,2170000,2130000,2100000,2060000,2020000,2000000,2010000,2070000,2190000,2360000,2550000,2730000,2880000,2990000,3060000,3120000,3180000,3260000,3380000,3510000,3660000,3810000,3950000,4070000,4180000,4290000,4390000,4500000,4610000,4730000
Libya,1450000,1500000,1550000,1610000,1670000,1730000,1800000,1880000,1960000,2040000,2130000,2230000,2330000,2430000,2540000,2650000,2750000,2870000,2980000,3100000,3220000,3350000,3480000,3610000,3750000,3870000,3990000,4110000,4220000,4330000,4440000,4540000,4650000,4760000,4860000,4950000,5040000,5120000,5200000,5270000,5360000,5440000,5530000,5620000,5700000,5790000,5880000,5970000,6050000,6120000,6170000,6190000,6200000,6200000,6200000,6230000,6290000,6370000
Liechtenstein,16500,16900,17300,17700,18200,18600,19200,19700,20200,20800,21300,21700,22200,22600,23000,23400,23900,24400,25000,25400,25900,26200,26500,26800,27000,27300,27500,27800,28100,28400,28700,29100,29500,29900,30400,30800,31300,31800,32400,32800,33300,33700,34000,34300,34600,34900,35100,35300,35500,35800,36000,36300,36500,36800,37100,37400,37700,37900
Lithuania,2780000,2820000,2860000,2900000,2940000,2970000,3010000,3040000,3080000,3110000,3140000,3180000,3210000,3240000,3270000,3300000,3330000,3360000,3380000,3400000,3410000,3430000,3460000,3490000,3510000,3540000,3580000,3620000,3660000,3680000,3700000,3700000,3700000,3680000,3660000,3630000,3600000,3580000,3550000,3520000,3500000,3470000,3440000,3420000,3380000,3320000,3270000,3230000,3200000,3160000,3100000,3030000,2990000,2960000,2930000,2900000,2870000,2830000
Luxembourg,314000,317000,321000,324000,328000,332000,334000,335000,336000,338000,339000,342000,347000,350000,355000,359000,361000,361000,362000,363000,364000,365000,366000,366000,366000,367000,368000,371000,373000,377000,382000,387000,392000,397000,403000,409000,414000,419000,425000,430000,436000,442000,446000,452000,458000,465000,473000,480000,489000,498000,507000,518000,531000,543000,556000,570000,582000,599000
"Macedonia, FYR",1490000,1510000,1530000,1550000,1570000,1590000,1620000,1640000,1670000,1700000,1720000,1740000,1750000,1770000,1780000,1800000,1830000,1850000,1880000,1900000,1920000,1940000,1960000,1970000,1970000,1980000,1990000,1990000,2000000,2000000,2000000,1990000,1990000,1980000,1980000,1980000,1990000,2000000,2010000,2020000,2030000,2040000,2050000,2050000,2060000,2060000,2060000,2070000,2070000,2070000,2070000,2070000,2070000,2080000,2080000,2080000,2080000,2080000
Madagascar,5100000,5220000,5350000,5490000,5630000,5770000,5920000,6070000,6230000,6400000,6580000,6760000,6950000,7140000,7350000,7560000,7770000,8000000,8230000,8470000,8720000,8970000,9230000,9500000,9780000,10100000,10400000,10600000,11000000,11300000,11600000,11900000,12300000,12700000,13100000,13500000,13900000,14300000,14800000,15300000,15800000,16300000,16800000,17300000,17800000,18300000,18900000,19400000,20000000,20600000,21200000,21700000,22300000,23000000,23600000,24200000,24900000,25600000
Malawi,3620000,3700000,3780000,3870000,3960000,4060000,4160000,4260000,4370000,4480000,4600000,4730000,4860000,5000000,5140000,5290000,5450000,5630000,5810000,5990000,6160000,6330000,6480000,6660000,6900000,7210000,7630000,8120000,8640000,9090000,9440000,9640000,9730000,9760000,9800000,9910000,10100000,10400000,10700000,11000000,11400000,11700000,12000000,12300000,12700000,13000000,13400000,13800000,14300000,14700000,15200000,15600000,16100000,16600000,17100000,17600000,18100000,18600000
Malaysia,8160000,8420000,8690000,8970000,9250000,9530000,9790000,10000000,10300000,10500000,10800000,11100000,11300000,11600000,11900000,12200000,12500000,12800000,13100000,13500000,13800000,14100000,14500000,14800000,15200000,15600000,16000000,16500000,17000000,17500000,18000000,18500000,19000000,19500000,20000000,20500000,21000000,21600000,22100000,22700000,23200000,23700000,24200000,24700000,25200000,25700000,26100000,26600000,27100000,27600000,28100000,28600000,29200000,29700000,30200000,30700000,31200000,31600000
Maldives,89900,92400,94900,97600,100000,103000,105000,108000,110000,113000,116000,119000,123000,128000,132000,137000,141000,145000,149000,153000,158000,164000,170000,176000,183000,190000,196000,203000,210000,217000,223000,230000,236000,242000,248000,254000,259000,264000,269000,274000,280000,287000,294000,302000,310000,319000,327000,336000,345000,355000,365000,375000,386000,397000,408000,418000,428000,436000
Mali,5260000,5320000,5380000,5440000,5500000,5570000,5640000,5710000,5780000,5860000,5950000,6040000,6150000,6260000,6370000,6480000,6600000,6710000,6830000,6960000,7090000,7230000,7390000,7540000,7690000,7830000,7960000,8070000,8180000,8310000,8470000,8650000,8870000,9110000,9350000,9600000,9860000,10100000,10400000,10700000,11000000,11300000,11600000,12000000,12400000,12800000,13200000,13700000,14100000,14600000,15100000,15500000,16000000,16500000,17000000,17500000,18000000,18500000
Malta,327000,325000,324000,323000,321000,319000,315000,312000,308000,304000,303000,303000,302000,302000,302000,304000,306000,307000,310000,313000,317000,319000,326000,331000,331000,336000,342000,344000,347000,351000,354000,364000,368000,371000,375000,377000,380000,383000,385000,388000,390000,393000,396000,399000,401000,404000,405000,407000,409000,412000,415000,416000,420000,426000,435000,445000,455000,465000
Marshall Islands,14700,15100,15500,16100,16700,17300,17800,18400,19000,19600,20400,21300,22300,23400,24500,25600,26600,27500,28400,29400,30600,31900,33300,34900,36600,38300,40200,42200,44100,45800,47300,48500,49400,50000,50600,51000,51400,51700,51900,52100,52200,52200,52200,52100,52100,52100,52100,52100,52200,52300,52400,52500,52700,52800,52900,53000,53100,53100
Mauritania,858000,883000,909000,936000,964000,992000,1020000,1050000,1080000,1120000,1150000,1180000,1220000,1250000,1290000,1330000,1370000,1410000,1450000,1490000,1530000,1580000,1630000,1670000,1720000,1770000,1820000,1870000,1920000,1980000,2030000,2090000,2140000,2200000,2260000,2330000,2400000,2470000,2550000,2630000,2710000,2790000,2870000,2960000,3040000,3130000,3220000,3310000,3410000,3510000,3610000,3720000,3830000,3950000,4060000,4180000,4300000,4420000
Mauritius,659000,681000,700000,719000,736000,753000,769000,784000,798000,812000,826000,839000,852000,865000,878000,892000,907000,921000,933000,950000,966000,980000,993000,1000000,1010000,1020000,1030000,1040000,1040000,1050000,1060000,1070000,1080000,1100000,1110000,1120000,1130000,1150000,1160000,1180000,1190000,1200000,1200000,1210000,1220000,1230000,1230000,1240000,1240000,1250000,1250000,1250000,1260000,1260000,1260000,1260000,1260000,1260000
Mexico,38200000,39400000,40600000,41900000,43300000,44600000,46000000,47400000,48900000,50400000,52000000,53700000,55500000,57300000,59100000,60900000,62600000,64300000,66000000,67700000,69400000,71000000,72600000,74200000,75800000,77400000,78900000,80500000,82100000,83700000,85400000,87100000,88800000,90600000,92300000,94000000,95700000,97300000,98800000,100000000,102000000,103000000,104000000,106000000,107000000,108000000,110000000,112000000,114000000,116000000,117000000,119000000,121000000,123000000,124000000,126000000,128000000,129000000
"Micronesia, Fed. Sts.",44500,46000,47400,48900,50500,52200,54200,56300,58400,60200,61400,62100,62300,62300,62500,63100,64400,66100,68200,70600,73000,75500,78100,80700,83200,85700,87900,90000,92000,94100,96300,98800,101000,104000,106000,108000,108000,109000,108000,108000,107000,107000,107000,107000,107000,106000,106000,105000,104000,104000,104000,103000,104000,104000,104000,104000,105000,106000
Moldova,2540000,2610000,2660000,2720000,2770000,2830000,2870000,2920000,2960000,3000000,3040000,3090000,3130000,3170000,3220000,3250000,3280000,3310000,3340000,3370000,3400000,3430000,3460000,3500000,3540000,3570000,3600000,3630000,3660000,3680000,3700000,3700000,3710000,3700000,3690000,3680000,3670000,3650000,3650000,3650000,3640000,3630000,3620000,3610000,3600000,3600000,3590000,3580000,3570000,3570000,3560000,3560000,3560000,3560000,3560000,3550000,3550000,3550000
Monaco,22500,22800,23000,23200,23200,23300,23300,23300,23300,23300,23500,23700,24100,24400,24800,25200,25500,25800,26100,26400,26700,27200,27600,28100,28500,28800,29000,29200,29200,29300,29400,29600,29900,30100,30400,30700,31000,31300,31500,31800,32100,32400,32600,32900,33300,33800,34400,35100,35900,36500,37100,37500,37800,38000,38100,38300,38500,38700
Mongolia,956000,982000,1010000,1040000,1070000,1110000,1140000,1170000,1210000,1240000,1280000,1320000,1360000,1400000,1440000,1480000,1520000,1560000,1600000,1650000,1690000,1730000,1780000,1820000,1870000,1920000,1980000,2030000,2090000,2140000,2180000,2220000,2240000,2260000,2280000,2300000,2320000,2340000,2360000,2380000,2400000,2420000,2440000,2470000,2500000,2530000,2560000,2590000,2630000,2670000,2710000,2760000,2810000,2870000,2920000,2980000,3030000,3080000
Montenegro,481000,491000,503000,513000,522000,526000,526000,523000,517000,513000,512000,515000,522000,530000,539000,546000,553000,558000,562000,567000,573000,579000,587000,595000,601000,605000,608000,608000,607000,607000,606000,607000,609000,610000,611000,612000,611000,610000,608000,606000,605000,607000,610000,612000,613000,614000,615000,616000,617000,618000,619000,620000,621000,621000,622000,622000,622000,622000
Morocco,12300000,12700000,13100000,13500000,13900000,14200000,14600000,15000000,15300000,15700000,16000000,16300000,16700000,17000000,17400000,17800000,18200000,18600000,19100000,19500000,20000000,20500000,21000000,21500000,22000000,22500000,23000000,23500000,24000000,24400000,24900000,25300000,25800000,26200000,26700000,27100000,27500000,27800000,28200000,28500000,28800000,29200000,29500000,29800000,30200000,30500000,30900000,31200000,31600000,32000000,32400000,32900000,33300000,33800000,34300000,34800000,35300000,35700000
Mozambique,7390000,7540000,7700000,7860000,8030000,8200000,8380000,8570000,8760000,8950000,9160000,9380000,9600000,9830000,10100000,10300000,10600000,10900000,11200000,11600000,11800000,12100000,12400000,12700000,12900000,13000000,13000000,13000000,13000000,13100000,13200000,13600000,14100000,14600000,15200000,15800000,16200000,16700000,17100000,17600000,18100000,18600000,19100000,19700000,20300000,20900000,21500000,22200000,22800000,23500000,24200000,24900000,25700000,26400000,27200000,28000000,28800000,29700000
Myanmar,21000000,21400000,21900000,22400000,22900000,23400000,23900000,24500000,25100000,25700000,26400000,27000000,27700000,28300000,29000000,29700000,30400000,31100000,31900000,32600000,33400000,34100000,34900000,35700000,36500000,37200000,38000000,38700000,39400000,40000000,40600000,41200000,41700000,42200000,42700000,43200000,43800000,44400000,45000000,45500000,46100000,46600000,47100000,47600000,48100000,48500000,48800000,49200000,49500000,49800000,50200000,50600000,51000000,51400000,51900000,52400000,52900000,53400000
Namibia,603000,617000,633000,649000,665000,683000,700000,719000,738000,758000,780000,804000,829000,855000,881000,905000,928000,949000,970000,991000,1010000,1030000,1060000,1080000,1110000,1150000,1190000,1250000,1300000,1360000,1410000,1470000,1510000,1560000,1610000,1660000,1710000,1760000,1810000,1860000,1900000,1930000,1960000,1990000,2010000,2030000,2060000,2080000,2110000,2140000,2170000,2220000,2260000,2320000,2370000,2430000,2480000,2530000
Nauru,4430,4680,4950,5230,5500,5740,5930,6100,6240,6370,6500,6620,6740,6860,6970,7070,7150,7230,7310,7400,7490,7590,7720,7850,8010,8170,8350,8550,8760,8950,9160,9350,9550,9720,9860,9970,10000,10100,10000,10000,10000,10100,10100,10100,10100,10100,10100,10000,9950,9950,10000,10100,10300,10800,11900,12500,13000,13600
Nepal,10100000,10200000,10400000,10600000,10700000,10900000,11100000,11300000,11500000,11800000,12000000,12200000,12500000,12800000,13000000,13300000,13600000,13900000,14200000,14600000,14900000,15200000,15600000,16000000,16300000,16700000,17100000,17500000,17900000,18300000,18700000,19200000,19800000,20300000,20900000,21400000,21900000,22400000,22900000,23300000,23700000,24200000,24600000,25000000,25300000,25600000,25900000,26200000,26500000,26700000,27000000,27300000,27600000,28000000,28300000,28700000,29000000,29300000
